County Name,FRED ID
"Norton County, KS",28303
"Osage County, KS",28304
"Osborne County, KS",28305
"Ottawa County, KS",28306
"Pawnee County, KS",28307
"Phillips County, KS",28308
"Pottawatomie County, KS",28309
"Pratt County, KS",28310
"Rawlins County, KS",28311
"Reno County, KS",28312
"Republic County, KS",28313
"Rice County, KS",28314
"Riley County, KS",28315
"Rooks County, KS",28316
"Rush County, KS",28317
"Russell County, KS",28318
"Saline County, KS",28319
"Scott County, KS",28320
"Sedgwick County, KS",28321
"Seward County, KS",28322
"Shawnee County, KS",28323
"Sheridan County, KS",28324
"Sherman County, KS",28325
"Smith County, KS",28326
"Stafford County, KS",28327
"Stanton County, KS",28328
"Stevens County, KS",28329
"Sumner County, KS",28330
"Thomas County, KS",28331
"Trego County, KS",28332
"Wabaunsee County, KS",28333
"Wallace County, KS",28334
"Washington County, KS",28335
"Wichita County, KS",28336
"Wilson County, KS",28337
"Woodson County, KS",28338
"Wyandotte County, KS",28339
"Adair County, KY",927
"Allen County, KY",925
"Anderson County, KY",923
"Ballard County, KY",921
"Barren County, KY",919
"Bath County, KY",28346
"Bell County, KY",28347
"Boone County, KY",28348
"Bourbon County, KY",28349
"Boyd County, KY",28350
"Boyle County, KY",917
"Bracken County, KY",28352
"Breathitt County, KY",28353
"Breckinridge County, KY",915
"Bullitt County, KY",913
"Butler County, KY",911
"Caldwell County, KY",909
"Calloway County, KY",907
"Campbell County, KY",28359
"Carlisle County, KY",905
"Carroll County, KY",902
"Carter County, KY",28362
"Casey County, KY",901
"Christian County, KY",899
"Clark County, KY",28365
"Clay County, KY",28366
"Clinton County, KY",897
"Crittenden County, KY",895
"Cumberland County, KY",893
"Daviess County, KY",891
"Edmonson County, KY",889
"Elliott County, KY",28372
"Estill County, KY",28373
"Fayette County, KY",28374
"Fleming County, KY",28375
"Floyd County, KY",28376
"Franklin County, KY",887
"Fulton County, KY",885
"Gallatin County, KY",883
"Garrard County, KY",28380
"Grant County, KY",28381
"Graves County, KY",881
"Grayson County, KY",879
"Green County, KY",877
"Greenup County, KY",28385
"Hancock County, KY",875
"Hardin County, KY",873
"Harlan County, KY",28388
"Harrison County, KY",28389
"Hart County, KY",871
"Henderson County, KY",869
"Henry County, KY",867
"Hickman County, KY",865
"Hopkins County, KY",863
"Jackson County, KY",28395
"Jefferson County, KY",861
"Jessamine County, KY",28397
"Johnson County, KY",28398
"Kenton County, KY",28399
"Knott County, KY",28400
"Knox County, KY",28401
"Larue County, KY",859
"Laurel County, KY",28403
"Lawrence County, KY",28404
"Lee County, KY",28405
"Leslie County, KY",28406
"Letcher County, KY",28407
"Lewis County, KY",28408
